transaction_date,transaction_time,customer_id,quantity,line_item_amount,unit_price,product_group,product_category,product_type,current_wholesale_price,customer_since,customer_birth_year,customer_generation
4/2/2019,17:45:27,8438,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/13/2017,1984,Older Millennials
4/2/2019,17:02:45,8496,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/18/2017,1977,Gen X
4/2/2019,17:50:55,8493,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/27/2017,1991,Younger Millennials
4/2/2019,17:48:51,8023,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/7/2017,1992,Younger Millennials
4/2/2019,13:42:56,8494,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/4/2018,1998,Gen Z
4/2/2019,12:17:46,8085,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/13/2017,1990,Younger Millennials
4/2/2019,16:31:48,8088,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/2/2018,1950,Baby Boomers
4/2/2019,17:43:03,8290,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/31/2017,1989,Older Millennials
4/2/2019,15:41:09,8075,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/14/2018,1987,Older Millennials
4/2/2019,14:37:44,8494,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/4/2018,1998,Gen Z
4/2/2019,19:19:29,8279,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/3/2018,1998,Gen Z
4/2/2019,17:53:21,8461,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/10/2018,1955,Baby Boomers
4/2/2019,8:24:13,8189,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/20/2017,1976,Gen X
4/3/2019,15:39:42,192,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/15/2018,1982,Older Millennials
4/3/2019,18:47:50,784,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/27/2018,1993,Younger Millennials
4/3/2019,19:19:44,389,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/5/2017,1961,Baby Boomers
4/3/2019,18:44:51,172,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/21/2018,1979,Gen X
4/3/2019,16:19:34,588,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/20/2018,1986,Older Millennials
4/3/2019,12:54:44,216,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/20/2018,1986,Older Millennials
4/3/2019,14:15:52,347,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/9/2017,1956,Baby Boomers
4/3/2019,17:53:41,487,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/23/2018,1974,Gen X
4/3/2019,16:19:08,5849,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/12/2019,1999,Gen Z
4/3/2019,14:23:03,5118,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/17/2019,1999,Gen Z
4/3/2019,12:42:56,5150,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/11/2018,1993,Younger Millennials
4/3/2019,9:00:48,5360,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/26/2017,1972,Gen X
4/3/2019,15:30:39,5242,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/18/2018,1996,Gen Z
4/3/2019,11:20:52,5782,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/14/2017,1952,Baby Boomers
4/3/2019,15:06:10,5633,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/24/2017,1959,Baby Boomers
4/3/2019,14:56:14,5769,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/3/2019,1998,Gen Z
4/3/2019,11:11:22,5016,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/17/2018,1997,Gen Z
4/3/2019,8:44:54,5635,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/8/2017,1969,Gen X
4/3/2019,15:16:34,5012,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/30/2017,1961,Baby Boomers
4/3/2019,9:54:43,5358,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/25/2017,1966,Gen X
4/3/2019,10:44:30,5023,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/14/2017,1969,Gen X
4/3/2019,11:55:14,5687,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/28/2017,1970,Gen X
4/3/2019,18:17:44,5800,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/4/2017,1981,Older Millennials
4/3/2019,7:29:28,5259,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/6/2017,1957,Baby Boomers
4/3/2019,19:52:52,8356,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/25/2018,1968,Gen X
4/3/2019,12:20:20,8472,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/15/2017,1973,Gen X
4/3/2019,13:04:55,8364,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/21/2017,1965,Gen X
4/3/2019,17:09:42,8197,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/11/2017,1996,Gen Z
4/3/2019,11:26:18,8220,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/29/2017,1959,Baby Boomers
4/3/2019,9:07:36,8384,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/28/2018,1991,Younger Millennials
4/3/2019,14:28:01,8351,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/22/2018,1961,Baby Boomers
4/3/2019,16:31:50,8366,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/13/2017,1973,Gen X
4/3/2019,17:21:34,8465,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/15/2019,1990,Younger Millennials
4/3/2019,17:18:26,8439,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/25/2017,1974,Gen X
4/3/2019,8:19:33,8191,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/12/2018,1985,Older Millennials
4/3/2019,10:24:07,8287,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/11/2017,1967,Gen X
4/3/2019,14:26:41,8134,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/21/2017,1995,Gen Z
4/3/2019,14:57:23,8044,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/18/2018,1953,Baby Boomers
4/3/2019,18:34:55,8373,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/5/2018,1993,Younger Millennials
4/3/2019,14:49:50,8304,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/27/2018,1997,Gen Z
4/3/2019,12:25:50,8272,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/26/2018,1991,Younger Millennials
4/3/2019,19:58:26,8444,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/24/2017,2001,Gen Z
4/3/2019,18:39:30,8396,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/31/2018,1969,Gen X
4/4/2019,15:25:46,295,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/26/2019,2000,Gen Z
4/4/2019,12:30:36,274,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/27/2019,1996,Gen Z
4/4/2019,12:30:25,722,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/2/2017,1961,Baby Boomers
4/4/2019,18:28:52,646,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/18/2018,1994,Younger Millennials
4/4/2019,12:42:51,798,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/23/2019,2000,Gen Z
4/4/2019,17:19:14,208,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/29/2018,1985,Older Millennials
4/4/2019,16:13:20,429,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/25/2017,1966,Gen X
4/4/2019,11:13:44,735,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/18/2017,1968,Gen X
4/4/2019,12:04:51,578,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/30/2018,1985,Older Millennials
4/4/2019,16:17:57,90,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/7/2017,1965,Gen X
4/4/2019,13:08:30,5002,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/4/2018,1991,Younger Millennials
4/4/2019,12:14:40,5183,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/25/2017,1961,Baby Boomers
4/4/2019,12:43:28,5241,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/27/2017,1951,Baby Boomers
4/4/2019,15:48:08,5312,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/1/2018,1980,Older Millennials
4/4/2019,13:03:33,5885,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/3/2017,1987,Older Millennials
4/4/2019,7:20:26,5256,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/28/2017,1986,Older Millennials
4/4/2019,15:21:00,5475,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/12/2018,1992,Younger Millennials
4/4/2019,15:43:04,5583,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/29/2018,1974,Gen X
4/4/2019,9:40:45,5015,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/23/2017,1966,Gen X
4/4/2019,12:17:21,5702,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/7/2017,1969,Gen X
4/4/2019,14:15:36,5081,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/15/2018,1992,Younger Millennials
4/4/2019,15:03:18,5283,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/13/2017,1967,Gen X
4/4/2019,17:45:18,5587,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/16/2018,1992,Younger Millennials
4/4/2019,16:54:23,5086,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/14/2018,1984,Older Millennials
4/4/2019,17:10:11,8037,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/7/2018,1967,Gen X
4/4/2019,9:49:28,8253,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/5/2018,1978,Gen X
4/4/2019,14:55:32,8045,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/11/2018,1997,Gen Z
4/4/2019,8:45:29,8041,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/3/2019,1962,Baby Boomers
4/4/2019,14:09:29,8026,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/15/2018,1962,Baby Boomers
4/4/2019,18:39:37,8427,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/21/2018,1954,Baby Boomers
4/4/2019,17:32:20,8386,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/30/2018,1953,Baby Boomers
4/4/2019,10:18:42,8139,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/24/2017,1957,Baby Boomers
4/4/2019,10:28:05,8485,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/16/2018,1960,Baby Boomers
4/4/2019,16:50:23,8074,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/4/2018,1989,Older Millennials
4/4/2019,17:09:55,8349,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/13/2019,2000,Gen Z
4/4/2019,9:42:28,8002,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/22/2017,1995,Gen Z
4/4/2019,16:50:47,8436,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/21/2019,1989,Older Millennials
4/4/2019,18:03:39,8479,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/29/2017,1990,Younger Millennials
4/4/2019,10:06:58,8260,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/13/2018,1985,Older Millennials
4/4/2019,11:45:34,8345,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/12/2017,1988,Older Millennials
4/5/2019,14:32:07,401,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/29/2017,1963,Baby Boomers
4/5/2019,12:39:09,217,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/23/2018,1987,Older Millennials
4/5/2019,12:45:56,703,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/26/2017,1951,Baby Boomers
4/5/2019,19:59:54,66,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/2/2017,1961,Baby Boomers
4/5/2019,18:27:34,713,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/19/2017,1956,Baby Boomers
4/5/2019,19:26:52,11,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/1/2017,1952,Baby Boomers
4/5/2019,17:14:20,666,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/28/2019,1996,Gen Z
4/5/2019,14:37:41,648,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/22/2018,1994,Younger Millennials
4/5/2019,12:08:26,681,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/28/2019,1998,Gen Z
4/5/2019,16:21:57,463,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/5/2017,1971,Gen X
4/5/2019,16:13:57,406,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/9/2017,1963,Baby Boomers
4/5/2019,11:13:45,194,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/20/2018,1983,Older Millennials
4/5/2019,16:48:38,166,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/4/2018,1978,Gen X
4/5/2019,16:28:32,717,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/22/2017,1958,Baby Boomers
4/5/2019,16:38:18,439,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/16/2017,1967,Gen X
4/5/2019,18:23:46,567,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/8/2018,1984,Older Millennials
4/5/2019,11:58:58,61,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/19/2017,1960,Baby Boomers
4/5/2019,10:21:40,5709,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/15/2019,1999,Gen Z
4/5/2019,15:45:52,5641,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/13/2019,1999,Gen Z
4/5/2019,18:06:12,5347,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/12/2017,1971,Gen X
4/5/2019,12:39:56,5906,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/19/2017,1954,Baby Boomers
4/5/2019,12:18:01,5083,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/10/2019,1999,Gen Z
4/5/2019,7:50:58,5330,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/3/2017,1957,Baby Boomers
4/5/2019,14:40:06,5857,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/10/2018,1982,Older Millennials
4/5/2019,16:08:48,5635,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/8/2017,1969,Gen X
4/5/2019,9:38:01,5549,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/3/2017,1969,Gen X
4/5/2019,8:56:37,5198,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/17/2018,1986,Older Millennials
4/5/2019,18:25:46,8468,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/9/2018,1972,Gen X
4/5/2019,14:56:46,8244,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/11/2017,1958,Baby Boomers
4/5/2019,8:32:59,8209,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/13/2018,1980,Older Millennials
4/5/2019,9:19:05,8422,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/30/2018,1996,Gen Z
4/5/2019,17:38:30,8236,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/9/2018,1971,Gen X
4/5/2019,19:19:54,8109,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/25/2018,1960,Baby Boomers
4/5/2019,9:17:53,8026,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/15/2018,1962,Baby Boomers
4/5/2019,10:22:26,8347,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/26/2017,1955,Baby Boomers
4/5/2019,19:23:44,8225,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/27/2018,1975,Gen X
4/6/2019,15:22:02,141,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/25/2018,1974,Gen X
4/6/2019,16:00:53,90,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/7/2017,1965,Gen X
4/6/2019,17:44:56,363,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/12/2017,1958,Baby Boomers
4/6/2019,18:53:01,172,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/21/2018,1979,Gen X
4/6/2019,15:29:06,390,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/7/2017,1961,Baby Boomers
4/6/2019,16:27:42,599,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/12/2018,1988,Older Millennials
4/6/2019,11:43:27,762,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/29/2018,1981,Older Millennials
4/6/2019,16:01:15,474,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/27/2017,1972,Gen X
4/6/2019,15:39:48,122,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/4/2017,1970,Gen X
4/6/2019,16:11:12,409,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/15/2017,1964,Baby Boomers
4/6/2019,16:50:11,5878,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/17/2019,1999,Gen Z
4/6/2019,16:42:21,5401,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/6/2018,1995,Gen Z
4/6/2019,13:49:58,5111,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/2/2018,1991,Younger Millennials
4/6/2019,7:53:59,5468,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/26/2019,2000,Gen Z
4/6/2019,13:58:32,5156,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/19/2019,1998,Gen Z
4/6/2019,16:27:10,5237,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/9/2017,1952,Baby Boomers
4/6/2019,12:08:11,5769,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/3/2019,1998,Gen Z
4/6/2019,16:20:16,5865,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/28/2018,1991,Younger Millennials
4/6/2019,10:39:00,5396,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/24/2017,1972,Gen X
4/6/2019,8:14:47,5204,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/2/2017,1965,Gen X
4/6/2019,14:02:19,8227,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/7/2019,1952,Baby Boomers
